    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        95   117.1161    93.000  0.951028406  0.004539416  0.000186517  0.044245661  2  0.055965  0.944035   752.6559    66.8302  4.197E-01  1.501E-02  0.330573640  0.007400105  0.001286079  0.660740176  0.995187082  0.004335816  0.000108260  0.000368841
        96   115.6395    93.000  0.095149881  0.757713110  0.130422635  0.016714375  1  1.000000  0.000000   448.7743        NaN  6.208E-02        NaN  0.095149881  0.757713110  0.130422635  0.016714375          NaN          NaN          NaN          NaN
        97   152.1517    93.000  0.888561146  0.004569455  0.101670400  0.005199000  2  0.050713  0.949287   513.5821   124.0703  8.439E-02  1.749E-02  0.469850270  0.006911381  0.454927782  0.068310566  0.920774886  0.004389277  0.074492358  0.000343479
        98   127.3643    93.000  0.039837505  0.013617071  0.015409775  0.931135649  1  1.000000  0.000000   808.3519        NaN  5.946E-01        NaN  0.039837505  0.013617071  0.015409775  0.931135649          NaN          NaN          NaN          NaN
        99   141.3906    93.000  0.027600619  0.223238632  0.739304988  0.009855762  1  1.000000  0.000000   580.5545        NaN  1.250E-01        NaN  0.027600619  0.223238632  0.739304988  0.009855762          NaN          NaN          NaN          NaN
       100   140.0077    93.000  0.827996775  0.035590428  0.136412053  0.000000745  2  0.078866  0.921134   428.5448   130.7615  5.604E-02  1.762E-02  0.489903074  0.050292830  0.459798198  0.000005898  0.873394148  0.033616270  0.092989530  0.000000053
       101   140.3457    93.000  0.011006038  0.976017154  0.012260453  0.000716355  1  1.000000  0.000000   429.8357        NaN  5.789E-02        NaN  0.011006038  0.976017154  0.012260453  0.000716355          NaN          NaN          NaN          NaN
       102   137.3929    93.000  0.250199337  0.688337495  0.061441854  0.000021314  1  1.000000  0.000000   358.5592        NaN  4.285E-02        NaN  0.250199337  0.688337495  0.061441854  0.000021314          NaN          NaN          NaN          NaN
       103   130.4512    93.000  0.000003700  0.001661579  0.000006768  0.998327953  1  1.000000  0.000000   817.2965        NaN  6.160E-01        NaN  0.000003700  0.001661579  0.000006768  0.998327953          NaN          NaN          NaN          NaN
       104   129.3678    93.000  0.388594079  0.001684379  0.609130314  0.000591229  1  1.000000  0.000000   488.7410        NaN  7.364E-02        NaN  0.388594079  0.001684379  0.609130314  0.000591229          NaN          NaN          NaN          NaN
