    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        80   136.6964   105.631  0.000024312  0.000976345  0.998412395  0.000586948  1  1.000000  0.000000   595.0304        NaN  1.313E-01        NaN  0.000024312  0.000976345  0.998412395  0.000586948          NaN          NaN          NaN          NaN
        81   138.1297    89.617  0.372018959  0.490882595  0.125828901  0.011269544  1  1.000000  0.000000   366.6004        NaN  4.408E-02        NaN  0.372018959  0.490882595  0.125828901  0.011269544          NaN          NaN          NaN          NaN
        82   143.0270   107.068  0.149845177  0.579868148  0.269427867  0.000858808  1  1.000000  0.000000   446.7835        NaN  6.127E-02        NaN  0.149845177  0.579868148  0.269427867  0.000858808          NaN          NaN          NaN          NaN
        83   141.4155   105.270  0.514222257  0.000088541  0.390706229  0.094982973  2  0.748555  0.251445   545.6317   108.6174  9.870E-02  1.674E-02  0.422151400  0.000094206  0.461556540  0.116197855  0.924332918  0.000063309  0.075118118  0.000485656
        84   124.9304    78.690  0.080549690  0.000000000  0.059137489  0.860312821  1  1.000000  0.000000   804.7620        NaN  6.069E-01        NaN  0.080549690  0.000000000  0.059137489  0.860312821          NaN          NaN          NaN          NaN
        85   161.8242    88.213  0.027295611  0.312053482  0.006340160  0.654310747  1  1.000000  0.000000   772.2234        NaN  5.071E-01        NaN  0.027295611  0.312053482  0.006340160  0.654310747          NaN          NaN          NaN          NaN
        86   148.4943    78.873  0.006968345  0.179997618  0.811885625  0.001148411  1  1.000000  0.000000   599.6909        NaN  1.447E-01        NaN  0.006968345  0.179997618  0.811885625  0.001148411          NaN          NaN          NaN          NaN
        87   130.0621    72.244  0.051566395  0.851717850  0.094083224  0.002632531  1  1.000000  0.000000   474.0851        NaN  7.198E-02        NaN  0.051566395  0.851717850  0.094083224  0.002632531          NaN          NaN          NaN          NaN
        88   126.7612    69.194  0.001923183  0.046667902  0.000464216  0.950944699  1  1.000000  0.000000   821.5242        NaN  6.840E-01        NaN  0.001923183  0.046667902  0.000464216  0.950944699          NaN          NaN          NaN          NaN
        89   151.3563    73.538  0.509266867  0.004037276  0.392968155  0.093727702  2  0.883824  0.116176   560.1993   119.5334  1.126E-01  1.700E-02  0.467316653  0.004202706  0.425827033  0.102653607  0.948748918  0.002304178  0.048729451  0.000217453
